inci_name,id,potency_tier,time_of_day,barrier_tax_score,sun_sensitivity
silica,162,1,ANY,0,False
cetyl alcohol,163,1,ANY,0,False
propylene carbonate,164,1,ANY,0,False
quartz,165,1,ANY,0,False
chlorphenesin,166,1,ANY,0,False
coumarin,167,1,ANY,0,False
sucrose laurate,168,1,ANY,0,False
olea europaea olive fruit oil,169,1,ANY,0,False
persea gratissima avocado oil,170,1,ANY,0,False
algae exopolysaccharides,171,1,ANY,0,False
prunus amygdalus dulcis sweet almond oil,172,1,ANY,0,False
vaccinium myrtillus seed oil,173,1,ANY,0,False
chromium oxide greens ci 77288,174,1,ANY,0,False
sodium cocoyl isethionate,175,1,ANY,0,False
cocamidopropyl betaine,176,1,ANY,0,False
dimethicone peg-8 meadowfoamate,177,1,ANY,0,False
hamamelis virginiana water hamamelis virginiana witch hazel water,178,1,ANY,0,False
sodium lauroyl oat amino acids,179,1,ANY,0,False
pyrus malus fruit extract pyrus malus apple fruit extract,180,1,ANY,0,False
citrus medica limonum fruit extract citrus medica limonum lemon fruit extract,181,1,ANY,0,True
citrus aurantium dulcis fruit extract citrus aurantium dulcis orange fruit extract,182,1,ANY,0,True
saccharum officinarum extract saccharum officinarum sugar cane extract,183,1,ANY,0,False
glycyrrhiza glabra root extract glycyrrhiza glabra licorice root extract,184,1,ANY,0,False
jojoba alcohol,185,1,ANY,0,False
potassium jojobate,186,1,ANY,0,False
lauryl lactyl lactate,187,1,ANY,0,False
benzoic acid,188,1,ANY,0,False
sodium chloride,189,1,ANY,0,False
xanthan gum,190,1,ANY,0,False
cetearyl ethylhexanoate,191,1,ANY,0,False
ceramide 3,192,1,ANY,0,False
alaria esculenta extract,193,1,ANY,0,False
rosmarinus officinalis leaf extract,194,1,ANY,0,False
helianthus annuus seed oil,195,1,ANY,0,False
cymbopogon martini oil,196,1,ANY,0,False
geraniol,197,1,ANY,0,False
butyrospermum parkii butter butyrospermum parkii shea butter,198,1,ANY,0,False
squalane,199,1,ANY,0,False
ascorbyl glucoside,200,1,ANY,0,False
algae extract,201,1,ANY,0,False
citrullus vulgaris fruit extract citrullus vulgaris watermelon fruit extract,202,1,ANY,0,False
lens esculenta fruit extract lens esculenta lentil fruit extract,203,1,ANY,0,False
oleanolic acid,204,1,ANY,0,False
palmitoyl oligopeptide,205,1,ANY,0,False
enantia chlorantha bark extract,206,1,ANY,0,False
crithmum maritimum extract,207,1,ANY,0,False
silybum marianum seed oil,208,1,ANY,0,False
hydrogenated vegetable oil,209,1,ANY,0,False
fragrance,210,1,ANY,0,False
sodium pca,211,1,ANY,0,False
polymethylsilsesquioxane,213,1,ANY,0,False
ethoxydiglycol,215,1,ANY,0,False
vinyl dimethicone methicone silsesquioxane crosspolymer,216,1,ANY,0,False
peg-12 dimethicone,217,1,ANY,0,False
vegetable collagen,218,1,ANY,0,False
plantago lanceolata leaf extract,219,1,ANY,0,False
sorbitan isostearate,220,1,ANY,0,False
sodium lauroyl lactylate,221,1,ANY,0,False
ceramide ap,222,1,ANY,0,False
ceramide eop,223,1,ANY,0,False
phytosphingosine,224,1,ANY,0,False
cholesterol,225,1,ANY,0,False
ascorbic acid,226,4,AM,3,False
triheptanoin,227,1,ANY,0,False
pseudoalteromonas ferment extract,228,1,ANY,0,False
c13-15 alkane,229,1,ANY,0,False
bakuchiol,231,2,ANY,0,False
beta vulgaris root extract,232,1,ANY,0,False
hydrolyzed corn starch,233,1,ANY,0,False
melia azadirachta leaf extract,234,1,ANY,0,False
melia azadirachta flower extract,235,1,ANY,0,False
coccinia indica fruit extract,236,1,ANY,0,False
solanum melongena fruit extract,237,1,ANY,0,False
aloe barbadensis flower extract,238,1,ANY,0,False
simmondsia chinensis jojoba seed oil,239,1,ANY,0,False
curcuma longa root extract,240,1,ANY,0,False
ocimum basilicum flowerleaf extract,241,1,ANY,0,False
ocimum sanctum leaf extract,242,1,ANY,0,False
salicylic acid,243,3,ANY,3,False
sodium polyacryloyldimethyl taurate,244,1,ANY,0,False
phycocyanin,245,1,ANY,0,False
lavandula angustifolia oil,246,1,ANY,0,False
tanacetum vulgare extract,247,1,ANY,0,False
tetrasodium glutamate diacetate,248,1,ANY,0,False
sodium salicylate,249,1,ANY,0,False
cocos nucifera coconut water,250,1,ANY,0,False
methyl trimethicone,251,1,ANY,0,False
ceresin,252,1,ANY,0,False
ozokerite,253,1,ANY,0,False
chlorella protothecoides,254,1,ANY,0,False
algin,255,1,ANY,0,False
hydrolyzed f-fucoidan,256,1,ANY,0,False
tripleurospermum maritimum extract,257,1,ANY,0,False
palmitoyl hexapeptide-52,258,1,ANY,0,False
passiflora incarnata extract,259,1,ANY,0,False
ribose,260,1,ANY,0,False
collagen,261,1,ANY,0,False
bidens pilosa extract,262,1,ANY,0,False
linum usitatissimum linseed seed oil,263,1,ANY,0,False
elaeis guineensis palm oil,264,1,ANY,0,False
gossypium herbaceum cotton seed oil,265,1,ANY,0,False
biosaccharide gum-4,266,1,ANY,0,False
alpha-glucan oligosaccharide,267,1,ANY,0,False
dimethiconevinyl dimethicone crosspolymer,268,1,ANY,0,False
dipropylene glycol,270,1,ANY,0,False
lauryl peg-9 polydimethylsiloxyethyl dimethicone,271,1,ANY,0,False
dehydroacetic acid,272,1,ANY,0,False
butylphenyl methylpropional,273,1,ANY,0,False
isododecane,274,1,ANY,0,False
isostearyl isostearate,275,1,ANY,0,False
neopentyl glycol diheptanoate,276,1,ANY,0,False
polyglyceryl-6 polyhydroxystearate,277,1,ANY,0,False
polyglyceryl-6 polyricinoleate,278,1,ANY,0,False
phloretin,280,1,ANY,0,False
fucus spiralis extract,281,1,ANY,0,False
tetraselmis chui extract,282,1,ANY,0,False
spiraea ulmaria extract,283,1,ANY,0,False
hydrolyzed algin,284,1,ANY,0,False
sorbitan oleate decylglucoside crosspolymer,285,1,ANY,0,False
disteardimonium hectorite,286,1,ANY,0,False
polyglycerin-6,287,1,ANY,0,False
lavandula angustifolia lavender extract,288,1,ANY,0,False
eucalyptus globulus leaf extract,289,1,ANY,0,False
bergamotgrapefruitorangetangerine fruit ferment extract,290,1,ANY,0,True
mica,291,1,ANY,0,False
citrus limon lemon fruit extract,292,1,ANY,0,True
triethoxycaprylylsilane,293,1,ANY,0,False
titanium dioxide ci 77891,294,2,AM,0,False
collagen amino acids,295,1,ANY,0,False
azelaic acid,296,3,ANY,2,False
glycolic acid,297,4,PM,4,True
decyl glucoside,298,1,ANY,0,False
lauryl glucoside,299,1,ANY,0,False
mentha piperita peppermint extract,301,1,ANY,0,False
dextrin,302,1,ANY,0,False
amylopectin,303,1,ANY,0,False
polydextrose,304,1,ANY,0,False
phytic acid,305,1,ANY,0,False
collagen vegetable,306,1,ANY,0,False
beta-glucan,307,1,ANY,0,False
calendula officinalis flower extract,308,1,ANY,0,False
enteromorpha compressa extract,309,1,ANY,0,False
leontopodium alpinum extract,310,1,ANY,0,False
hydroxyphenyl propamidobenzoic acid,311,1,ANY,0,False
bisabolol,312,1,ANY,0,False
coelastrella vacuolata oil,313,1,ANY,0,False
watanabea reniformis oil,314,1,ANY,0,False
ascorbyl palmitate,315,1,ANY,0,False
ethyhexylglycerin,316,1,ANY,0,False
sodium cocoyl glycinate,317,1,ANY,0,False
kaolin,318,1,ANY,0,False
lactococcus ferment lysate,319,1,ANY,0,False
bentonite,320,1,ANY,0,False
magnesium aluminum silicate,321,1,ANY,0,False
maltooligosyl glucoside,322,1,ANY,0,False
myristic acid,323,1,ANY,0,False
algae oligosaccharides,324,1,ANY,0,False
chlorella vulgaris extract,325,1,ANY,0,False
alteromonas ferment extract,326,1,ANY,0,False
curcuma longa turmeric root extract,327,1,ANY,0,False
hydrogenated starch hydrolysate,329,1,ANY,0,False
sodium methyl oleoyl taurate,330,1,ANY,0,False
styreneacrylates copolymer,332,1,ANY,0,False
phytosteryloctyldodecyl lauroyl glutamate,333,1,ANY,0,False
lauric acid,334,1,ANY,0,False
cellulose gum,335,1,ANY,0,False
sucrose,336,1,ANY,0,False
titanium dioxide,337,2,AM,0,False
