product_id,ingredient_id,concentration_rank
P122782,3,53
P122782,1622,54
P122782,411,55
P122782,1741,56
P122782,146,57
P122782,34,58
P122782,291,59
P122782,1152,60
P122782,1161,61
P122782,1162,62
P122782,294,63
P122782,338,64
P122782,1612,65
P122782,1623,66
P122782,1156,67
P122782,1742,68
P122782,1099,69
P122782,1743,70
P122782,1158,71
P122782,1160,72
P122782,1159,73
P122876,6505,1
P122876,136,2
P122876,243,3
P122876,1632,4
P122876,45,5
P122876,6,6
P122876,890,7
P122876,85,8
P122876,30,9
P122876,1757,10
P122876,146,11
P122876,34,12
P122876,1428,13
P122876,1724,14
P122881,6505,1
P122881,136,2
P122881,243,3
P122881,1632,4
P122881,45,5
P122881,6,6
P122881,890,7
P122881,85,8
P122881,28,9
P122881,30,10
P122881,57,11
P122881,146,12
P122881,34,13
P122881,1428,14
P122881,1625,15
P122881,1156,16
P122881,1646,17
P122882,6505,1
P122882,136,2
P122882,6,3
P122882,718,4
P122882,1133,5
P122882,890,6
P122882,85,7
P122882,45,8
P122882,1624,9
P122882,1156,10
P122882,1359,11
P122882,1625,12
P122900,8,1
P122900,274,2
P122900,45,3
P122900,752,4
P122900,6,5
P122900,1571,6
P122900,756,7
P122900,1572,8
P122900,99,9
P122900,1120,10
P122900,1117,11
P122900,86,12
P122900,890,13
P122900,85,14
P122900,93,15
P122900,1573,16
P122900,390,17
P122900,162,18
P122900,1122,19
P122900,1574,20
P122900,466,21
P122900,410,22
P122900,1575,23
P122900,1415,24
P122900,58,25
P122900,24,26
P122900,27,27
P122900,614,28
P122900,57,29
P122900,34,30
P122900,4614,31
P122900,1358,32
P122900,1576,33
P122900,1577,34
P12295,336,1
P12295,5952,2
P12295,507,3
P12295,2116,4
P12295,2727,5
P12295,362,6
P12295,1369,7
P12295,164,8
P12295,958,9
P12295,68,10
P12295,78,11
P12295,599,12
P12295,972,13
P12295,2389,14
P12295,537,15
P12295,93,16
P12295,1031,17
P12295,6,18
P12295,457,19
P12295,4614,20
P12295,146,21
P12295,608,22
P12336,45,1
P12336,6,2
P12336,4609,3
P12336,904,4
P12336,3266,5
P12336,639,6
P12336,552,7
P12336,99,8
P12336,1012,9
P12336,98,10
P12336,685,11
P12336,631,12
P12336,626,13
P12336,3165,14
P12336,2342,15
P12336,4613,16
P12336,58,17
P12336,929,18
P12336,30,19
P12336,2284,20
P12336,942,21
P12336,905,22
P12336,85,23
P12336,1031,24
P12336,448,25
P12336,28,26
P12336,121,27
P12336,4614,28
P12336,34,29
P12336,425,30
P12336,197,31
P12573,2718,1
P12573,76,2
P12573,3982,3
P12573,3983,4
P12573,944,5
P12573,4602,6
P12573,1910,7
P12573,3984,8
P12573,873,9
P12573,253,10
P12573,170,11
P12573,3985,12
P12573,585,13
P12573,93,14
P126301,3,1
P126301,348,2
P126301,942,3
P126301,1569,4
P126301,879,5
P126301,1570,6
P126301,4613,7
P126301,34,8
P139000,6505,1
P139000,1422,2
P139000,189,3
P139000,1024,4
P139000,927,5
P139000,1578,6
P139000,1425,7
P139000,1579,8
P139000,92,9
P139000,977,10
P139000,336,11
P139000,85,12
P139000,1580,13
P139000,45,14
P139000,27,15
P139000,1581,16
P139000,1582,17
P139000,24,18
P139000,1583,19
P139000,93,20
P139000,1584,21
P139000,57,22
P139000,34,23
P164932,5647,1
P164932,5648,2
P164932,5656,3
P164932,5657,4
P173619,45,1
P173619,5803,2
P173619,5804,3
P173619,136,4
P173619,46,5
P173619,904,6
P173619,93,7
P173619,199,8
P173619,190,9
P173619,5805,10
P173619,595,11
P173619,2484,12
P173619,5806,13
P173619,2145,14
P173619,468,15
P173619,5807,16
P173619,117,17
P173619,58,18
P173619,146,19
P173619,456,20
P173619,403,21
P173619,62,22
P173619,28,23
P173619,557,24
P173619,849,25
P173619,34,26
P173619,4225,27
P173619,210,28
P173619,4073,29
P173622,45,1
P173622,832,2
P173622,4601,3
P173622,6,4
P173622,270,5
P173622,136,6
P173622,46,7
P173622,904,8
P173622,34,9
P173622,4225,10
P173622,117,11
P173622,58,12
P173622,210,13
